"id","alimento","energía (Kcal)","proteinas","grasa total","carbohidratos"
403,"Armado, fresco, al horno, músculo dorsal",128,23.7,3.7,0.0
404,"Armado, fresco, frito, músculo dorsal",130,21.4,4.9,0.0
405,"Boga, fresca, cruda, músculo ventral",180,18.5,11.8,0.0
406,"Boga, fresca, hervida, músculo dorsal",158,22.7,7.5,0.0
407,"Boga, fresca, al horno, músculo dorsal",150,25.1,5.5,0.0
408,"Boga, fresca, a la parrilla, músculo dorsal",150,23.7,6.1,0.0
409,"Boga, fresca, frita, músculo dorsal",168,24.3,7.9,0.0
410,"Moncholo, fresco, crudo, músculo dorsal",112,17.5,4.7,0.0
411,"Moncholo, fresco, crudo, músculo ventral",148,16.7,9.1,0.0
412,"Moncholo, fresco, hervido, músculo dorsal",187,16.7,13.3,0.0
413,"Moncholo, fresco, al horno, músculo dorsal",189,22.0,11.3,0.0
414,"Patí, fresco, hervido, músculo dorsal",133,19.6,6.1,0.0
415,"Patí, fresco, al horno, músculo dorsal",183,20.6,11.2,0.0
416,"Patí, fresco, a la parrilla, músculo dorsal",169,22.6,8.8,0.0
417,"Patí, fresco, frito, músculo dorsal",215,23.0,13.6,0.0
418,"Sábalo, fresco, crudo, músculo dorsal",145,18.0,8.1,0.0
419,"Sábalo, fresco, crudo, músculo ventral",151,17.5,9.0,0.0
420,"Sábalo, fresco, hervido, músculo dorsal",130,20.5,5.3,0.0
421,"Sábalo, fresco, al horno, músculo dorsal",153,25.1,5.8,0.0
422,"Sábalo, fresco, a la parrilla, músculo dorsal",130,23.4,4.0,0.0
423,"Sábalo, fresco, frito, músculo dorsal",166,24.9,7.4,0.0
424,"Surubí, fresco, crudo, músculo dorsal",187,17.6,13.0,0.0
425,"Surubí, fresco, hervido, músculo dorsal",186,23.4,10.3,0.0
426,"Surubí, fresco, al horno, músculo dorsal",255,23.5,17.9,0.0
427,"Surubí, fresco, frito, músculo dorsal",269,26.7,18.0,0.0
428,"Patí, fresco, crudo, músculo dorsal",161,15.9,10.8,0.0
429,"Patí, fresco, crudo, músculo ventral",159,15.2,10.9,0.0
431,"Zapallo, pulpa, hervido",20,0.4,0.0,4.6
432,Yogur descremado fortificado con Ca,48,4.6,0.1,7.1
482,"Maiz, blanco perla, grano entero, crudo",335,9.0,0.9,74.8
483,"Amaranto, semilla, cruda (Amarantus mantegazzianus)",388,15.4,8.4,62.7
484,"Amaranto, semilla, cruda (Amarantus caudatus)",384,15.3,7.6,63.6
485,"Amaranto, semillia, cruda (Amarantus cruentus)",384,15.6,7.6,63.4
486,"Amaranto, semilla, cruda (Amarantus hipochondriacus)",381,14.4,7.4,64.3
487,"Maiz, blanco 8 rayas, grano entero, crudo",340,7.3,0.9,77.7
488,"Maiz, amarillo Leales, grano entero, crudo",346,10.6,0.8,74.1
489,"Maiz, amarillo trópico 327, grano entero, crudo  ",344,9.8,1.1,73.6
490,"Maiz amarillo, pisingallo, grano entero, crudo",345,10.9,0.5,74.6
491,"Maiz amarillo, sémola, grano entero, crudo",305,9.0,1.1,76.4
492,"Lupino andino, con cáscara, semilla, crudo",399,37.8,10.0,39.5
493,"Lupino andino, sin cáscara, semilla, crudo",411,38.4,11.6,38.3
494,"Acelga, hoja",15,2.9,0.2,0.0
495,"Acelga, tallo",8,1.2,0.1,0.0
496,Aceituna de monte,93,1.6,0.4,19.4
497,"Guaraniná, Brumelia obtusifolia",147,1.6,3.2,23.7
498,Achira (raíces),34,1.7,0.2,7.9
499,Achicoria de Monte,46,2.8,1.2,7.7
500,"Verdolaga, hoja",32,2.4,0.5,5.7
501,"Mastuerzo, hoja",50,3.7,1.4,8.1
502,Ñandapirí,70,1.7,0.7,14.3
503,"Vacuno, bife angosto c/c de novillito, fresco, crudo",190,21.0,12.0,0.0
504,"Vacuno, bola de lomo de novillito, fresco, crudo",114,22.0,3.2,0.0
505,"Vacuno, brazuelo de novillito, fresco, crudo",120,21.0,3.9,0.0
506,"Vacuno, colita de cuadril de novillito, fresco, crudo",143,21.0,6.7,0.0
507,"Vacuno, corazón de cuadril de novillito, fresco, crudo",116,22.0,2.6,0.0
510,"Vacuno, nalga de novillito, fresco, crudo",106,22.0,1.7,0.0
511,"Vacuno, paleta de novillito, fresco, crudo",125,19.0,5.5,0.0
512,"Vacuno, paletín o marucha de novillito, fresco, crudo",132,20.0,6.1,0.0
513,"Vacuno, palomita de novillito, fresco, crudo",116,20.0,3.7,0.0
514,"Vacuno, peceto de novillito, fresco, crudo",125,23.0,1.9,0.0
515,"Vacuno, pecho de novillito, fresco, crudo",139,20.0,6.5,0.0
516,"Vacuno, tortuguita de novillito, fresco, crudo",154,22.0,7.6,0.0
517,"Vacuno, vacío de novillito, fresco, crudo",174,20.0,11.0,0.0
521,"Vacuno, tapa de cuadril de novillito, fresco, crudo",211,20.0,15.0,0.0
522,"Jamon cocido ""Villafranca Novissimo"".El Bierzo. Reducido en colesterol",98,18.0,2.5,0.0
523,"Lomo ahumado de cerdo cocido ""Villafranca Novissimo"". El Bierzo. Reducido en sodio y en colesterol",95,19.0,2.0,0.0
524,"Mortadela"" Villafranca Novissimo"". El Bierzo - reducida en grasa y en sodio",139,16.0,5.7,0.0
525,"Pastron ahumado ""Villafranca Novissimo"". El Bierzo. Reducido en sodio y en colesterol",79,16.0,0.4,0.0
526,"Salame ""Villafranca Novissimo"".El Bierzo.Reducido en sodio y en colesterol",134,22.0,4.6,0.0
528,"Poroto Alubia, semilla, seco",337,19.8,0.8,62.8
529,"Poroto Colorado, semilla, seco",333,19.6,1.2,61.0
530,"Poroto Carioca, semilla, seco",336,20.0,0.9,62.0
531,"Poroto Grand Berry, semilla, seco",336,21.5,1.0,60.4
532,"Poroto Great Northern, semilla, seco",326,21.0,0.5,60.6
533,"Poroto Negro, semilla, seco",306,20.6,1.0,61.5
534,"Poroto Novy Bean, semilla, seco",336,26.0,1.1,55.6
535,"Poroto Oval, semilla, seco",328,18.2,1.1,63.7
536,"Poroto Pallares, semilla, seco",322,16.6,0.6,63.3
537,"Poroto Small Red, semilla, seco",336,25.3,0.8,56.7
538,"Soja FT11, poroto seco",368,36.9,6.8,39.8
539,"Diente de león, hoja",33,2.6,0.4,6.6
540,"Lengua de vaca, hojas, tejido fresco, parte comestible",43,3.1,0.8,7.6
541,"Yuyo colorado, hoja",60,4.1,0.7,11.1
542,Doca,49,1.6,1.0,11.5
543,Mburucuyá verde,59,3.2,1.6,15.7
544,Mburucuyá maduro,84,4.7,1.7,23.4
545,Ubajay,49,1.1,1.6,8.1
546,Dulce de Leche Light,260,6.2,1.6,52.9
547,Dulce de leche repostero suelto,337,5.3,7.9,7.9
